Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
en-visite-privee,https://envisiteprivee.com/,développement web / digital / intelligence économique / Réseau social / services informatiques / startups / vidéo / web,"Votre réseau de chasseurs immobiliers, une présence active sur le terrain, des techniques d'investigation immobilière. ","Your network of real hunters, an active presence in the field of real investigative techniques.",network real hunter activ presenc field real investig techniqu
oenotourisme-lab,https://www.oenotourismelab.com/,Accompagnement / Activités et Loisirs / Incubateur / innovation / Tourisme,L'oenotourisme lab est le premier incubateur français dédiés aux innovations dans le domaine oenotouristique.,The lab is the first French wine incubator dedicated to innovations in the wine tourism field.,lab first french wine incub dedic innov wine tourism field
maxiassur,https://maxiassur.fr/,assurance / Comparateur d'assurances,Chaque jour nos experts décortiquent les propositions du marché afin de vous proposer les meilleures garanties au meilleur prix.,Every day our experts dissect the proposals of the market to offer the best guarantees the best price.,everi day expert dissect propos market offer best guarante best price
skilbag,https://www.skilbag.com,CV,Site de création de CV au format PDF,CV creation site PDF,cv creation site pdf
monstock,https://www.monstock.net/,application / B2B / Gestion / logiciel / mobilité / productivité / Software / stockage,"Solution innovante, complète et accessible de gestion des stocks en toute mobilité. ","Innovative solution, complete and accessible management of stocks on the move.",innov solut complet access manag stock move
mytravo,https://www.mytravo.net/,Application mobile / BTP / construction / DIY / Travaux,"La solution qui accompagne les particuliers / artisans dans leurs travaux de rénovation et construction (peinture, béton, terrasse...) en calculant leurs coûts et besoins pour ces derniers. ","The solution that assists individuals / artisans in their renovation and building (painting, concrete, deck ...) calculating their costs and needs for these.",solut assist individu artisan renov build paint concret deck ... calcul cost need
be-nativ,http://BE-nativ.com,digital / jeux vidéo / services,L'univers du jeu vidéo en un seul lieu numérique,The video game universe in one digital location,video game univers one digit locat
innovhealth,http://www.innovhealth.com,e-santé,"Un Passeport Vital connecté à un serveur, qui permet de récupérer, classer les informations et accéder à leurs données de santé en toute liberté partout dans le monde ","A Vital Passport connected to a server, for retrieving, classifying information and access their health data freely worldwide",vital passport connect server retriev classifi inform access health data freeli worldwid
myeasyfarm,http://www.myeasyfarm.com,AgriTech / Food Tech,Plateforme de Gestion de Data Agricoles,Platform Data Management Agricultural,platform data manag agricultur
mdk-solutions,http://mdksolutions.com,Securité,"Gestion sécurisée de données numériques, pour usage nomade. ","Secure management of digital data, for mobile use.",secur manag digit data mobil use
lesfairepartdalya,https://www.lesfairepartdalya.com/,mariage / rencontre / rencontre,Personnalisation de vos faire part en ligne,Customizing your share online,custom share onlin
pex,https://pex.com/,Adtech / big data / campagnes publicitaires / cinema / marketing / Musique / vidéo,"Trouve automatiquement toutes les copies de n'importe quel contenu audio ou video, sur toutes les plateformes de streaming ",Automatically finds all copies of any audio or video content on all platforms streaming,automat find copi audio video content platform stream
talir,http://www.talir.fr,logiciel,Talir conçoit une plateforme smart-city pour les collectivités locales et agglomérations,Talir designs a smart-city platform for local authorities and cities,talir design smart-citi platform local author citi
ilek,https://www.ilek.fr,Energies propres,Une nouvelle façon de consommer de l'énergie verte en se connectant directement chez des producteurs locaux.,A new way of consuming energy green by connecting directly with local producers.,new way consum energi green connect directli local produc
macomptafr,http://www.macompta.fr,logiciel,"Site de comptabilité, gestion commerciale et déclarations adaptés à toute structure. ","Website of accounting, business management and reports tailored to any structure.",websit account busi manag report tailor structur
copeeks,http://copeeks.fr/,AgriTech / caméra / collaboratif / collecte de données / monitoring,La société conçoit et met en œuvre une solution connectée destinée aux professionnels souhaitant s’engager dans une utilisation plus intensive de la « smart agriculture » dans leur quotidien.,"The company designs and implements a connected solution for professionals wishing to engage in more intensive use of ""smart agriculture"" in their day.",compani design implement connect solut profession wish engag intens use `` smart agricultur '' day
predicsis,http://www.predicsis.com/,big data / e-marketing / marketing / Predictive Analytics,Augmente la performance Marketing à partir de l’observation des comportements clients,Increases Performance Marketing from the observation of customer behavior,increas perform market observ custom behavior
askn-get,https://www.ask-n-get.com,coaching / conseil / formation,Insufflez une nouvelle dynamique dans votre organisation en misant sur vos managers.,Breathe new dynamic in your organization by leveraging your managers.,breath new dynam organ leverag manag
enso,https://www.ensorecruitment.com/,,Edite une solution destinée aux entreprises de travail temporaire.,Edits a solution for temporary employment agencies.,edit solut temporari employ agenc
outbound,https://www.outboundsales.io/,Application mobile / B2B / bases de données / big data / BtoB / Business / innovation / mailing / prospection / vente,Plateforme dédiée a la lead generation pour les professionnels en B2B.,Platform dedicated to the lead generation for professional B2B.,platform dedic lead gener profession b2b
sans-filtre,https://sans-filtre.fr/,Actualités / communauté sportive / histoire / information / media,"Présent sur le web et les réseaux sociaux, le média “Sans Filtre” spécialisé dans le sport, laisse la parole aux athlètes avec leurs propres contenus. ","Present on the web and social networks, the media ""No Filter"" specialized in sport, lets say athletes with their own content.",present web social network medium `` filter '' special sport let say athlet content
chartsbeds,https://www.chartsbeds.com/fr,hébergement / hôtel / hôtel / productivité / SaaS / Services Professionnels / Software / Tourisme,"ChartsBeds offre aux managers d'établissements hôteliers une solution tout-en-un, hébergée sur le cloud, pour leur permettre de gérer facilement leur activité au quotidien. ","ChartsBeds provides managers of hotel establishments an all-in-one hosted on the cloud, enabling them to easily manage their daily business.",chartsb provid manag hotel establish all-in-on host cloud enabl easili manag daili busi
eventico,http://eventico-sports.com/fr/accueil/,SportTech,Regroupe en un seul outil les fonctions dont vous avez besoin pour organiser votre événement sportif.,Brings together in one tool the features you need to organize your sporting event.,bring togeth one tool featur need organ sport event
refer-me-please,http://www.refer-me-please.com,job / recrutement / Réseau social,Réseau Social Professionnel basé sur le recrutement par cooptation,#VALUE!,valu
gocambio,http://www.gocambio.com/fr,apprentissage / échange / langue / partage / socialisation / Tourisme / Voyage,Tourisme alternatif et économie collaborative,Alternative Tourism and collaborative economy,altern tourism collabor economi
footminute,https://www.footminute.com,Actualités / news / football /,Agrégateur en temps réel de l'actualité du football français et international minute par minute parmi les meilleurs sources du web et des réseaux sociaux.,Aggregator in real time of the French football international news and minute by minute from the best source of web and social networks.,aggreg real time french footbal intern news minut minut best sourc web social network
prisme-vert,https://prismevert.fr/,,"Infographiste et illustratrice, l'allié parfait pour créer ou recréer son indentité visuelle de son entreprise, marque ou produit et communiquer haut en couleur. Ensemble mettons vos idées en images ! ","Graphic designer and illustrator, the perfect ally to create or re-create its visual indentity of his company, brand or product and communicate colorful. Together put your ideas into images!",graphic design illustr perfect alli creat re-creat visual indent compani brand product commun color togeth put idea imag
tanu,https://www.tanu.io/,BtoB / digital / digital learning / formation en ligne / numérique / plateforme / recrutement / RH / SaaS / Services Professionnels,Plateforme digitale de diagnostic et d'autoformation à la culture numérique,digital platform diagnostic and self-digital culture,digit platform diagnost self-digit cultur
febus-optics,http://febus-optics.com/1/fr/accueil/,,"Nouvelle génération de système de mesure utilisant la fibre optique pour, en particulier, le marché de la maintenance et de la surveillance des infrastructures. ","New measuring system generation using optical fiber, in particular, the market for maintenance and monitoring infrastructure.",new measur system gener use optic fiber particular market mainten monitor infrastructur
move-your-buddy,https://moveyourbuddy.io/,,"La 1ère plateforme qui rassemble vos collaborateurs autour de leurs passions, s'occupe de l'animation et récompense leur activité. ","The first platform that brings your employees about their passions, is in charge of animation and reward their activity.",first platform bring employe passion charg anim reward activ
packitoo,https://packitoo.fr,Accompagnement / appel d'offres / application / BtoB / collaboratif / design / french tech / Innovation Digitale / rencontres business,Nous connectons « intelligemment » et de façon transparente chaque projet d’emballages sur-mesure d’une Marque aux meilleurs Fabricants de packaging du monde entier capables d’y répondre.,"We connect ""intelligently"" and seamlessly each project packages tailored to a brand the best packaging manufacturers worldwide able to respond.",connect `` intellig '' seamlessli project packag tailor brand best packag manufactur worldwid abl respond
botmatic,http://www.botmatic.ai/,marketing mobile / recrutement / ressource humaine,Engaging candidates on messaging apps with chatbots,Engaging candidates we messaging apps with chatbots,engag candid messag app chatbot
seqone,http://www.seqone.fr,MedTech,SaaS software that manages entire genomics analysis process from raw files to final report,SaaS software That marriages Entire genomics analysis process from raw files to final report,saa softwar marriag entir genom analysi process raw file final report
versant-edition,http://www.versant-edition.com/,B2B / création / design / luxe,Mobilier contemporain haut de gamme fait dans les Pyrénées,high-end contemporary furniture made in the Pyrenees,high-end contemporari furnitur made pyrene
novaresa-sas,http://www.novaresa.fr,BtoB / check in / check out / cloud / creation de siteweb / développement web / digital / Distribution / E-commerce,Plateforme de gestion de réservations hôtelières,hotel bookings Management Platform,hotel book manag platform
sas-l2b,http://votremachine.com,AgriTech,Partage de matériels agricoles,Sharing agricultural equipment,share agricultur equip
beecampers,http://beecampers.com/,Economie collaborative / Particulier à particulier / camping,Plate forme collaborative de location de camping -cars et vans aménagés en Europe,Collaborative platform rental and camper vans -CARS built in Europe,collabor platform rental camper van -car built europ
wellpcb,https://www.wellpcb.com/,,WeLLPCB,WeLLPCB,wellpcb
bistrochat-restaurant-booking,http://www.bistrochat.com,Application mobile / Food Tech / restauration,Système de booking de restaurants par Chat intégrant fidélisation du client et des fonctions de recherches avancées,restaurant booking system by integrating Chat customer loyalty and advanced search functions,restaur book system integr chat custom loyalti advanc search function
boxraiser,https://www.boxraiser.com/,Abonnement / Application eCommerce,Comment lancer sa box mensuelle.,How to launch its monthly box.,launch monthli box
yoosourcing,http://www.yoosourcing.com,Application mobile,Le premier réseau social professional pour le commerce international (sourcing),The first professional social network for international trade (sourcing),first profession social network intern trade sourc
la-depeche-tech,https://ladepeche.ma/,Actualités / découverte / développement d'entreprise / technologie / téléphonie,La Dépêche Tech est un site d’actualités technologiques traitant du monde des nouvelles technologies et des Strat-Up au Maroc et dans le monde.,The Dispatch Tech is a technology news site dealing with the world of new technologies and Strat-Up in Morocco and worldwide.,dispatch tech technolog news site deal world new technolog strat-up morocco worldwid
auto-22,https://auto-22.com/,,Louer voiture pour votre Vacances,Rent a car for your holidays,rent car holiday
ecoplus-performance,https://ecoplusperformance.com/,Business,"Chauffage, Cheminée, Poêle, Insert,chaudière, découvez le spécialiste au Maroc (Marrakech, Casablanca..) ","Heating, Fireplace, Stove, Insert, boiler Découvez specialist in Morocco (Marrakech, Casablanca ..)",heat fireplac stove insert boiler découvez specialist morocco marrakech casablanca ..
mvito-marketing,https://www.mvito.com/,Actualités / appel d'offres / emploi / Location voiture / moteur de recherche / offres emploi / voiture,Moteur de recherche qui offre des solutions dans plusieurs secteurs gratuit pour tout le monde.,Search engine that offers solutions in several sectors free for everyone.,search engin offer solut sever sector free everyon
eco-fenetre,https://eco-fenetre.com/,BTP / design / environnemental / habitat / petits bricolages,Spécialiste dans les fenêtres PVC (polyvinyl chloride) et en alu,Specialist windows in PVC (polyvinyl chloride) and aluminum,specialist window pvc polyvinyl chlorid aluminum
lavicenne,https://lavicenne.com,AgriTech / santé,La spiruline exceptionnelle aux 1000 vertus,The exceptional spirulina the 1000 virtues,except spirulina 1000 virtu
nounousi-co,https://nounousi.com/,,Transforme les dessins des enfants en peluches,Turns lint in children's drawings,turn lint child 's draw
premier-retai-group-co-ltd,https://delishop.co.th/,made in france,Le premier Supermarche en ligne independant en Thailand,The first independent online Supermarket in Thailand,first independ onlin supermarket thailand
wishbeer,http://www.wishbeer.com,Application eCommerce / Application mobile / E-commerce / retail,Numero un de la vente en ligne de bieres speciales et de bars a bieres en Thailande,Number one selling line of special beers and beers bars in Thailand,number one sell line special beer beer bar thailand
klim-technologies,http://klimtechs.com,Gaming / vente,Matériel gaming,gaming equipment,game equip
taskworld,http://www.taskworld.com/fr,Business / management d'office / ressource humaine / Web development,"Outil qui facilite la gestion de vos projets, la planification de vos tâches et le travail en équipe ","Tool that makes your project management, planning tasks and teamwork",tool make project manag plan task teamwork
asean,http://aseanup.com/,Business / Communauté / Communauté / information / media,ASEAN UP est dédié au développement du business en Asie du Sud-Est,ASEAN UP is dedicated to business development in Southeast Asia,asean dedic busi develop southeast asia
below-eleven,http://below11.com/,Food Tech,Glaces de luxe à la française,Luxury Ice-French,luxuri ice-french
delishopcoth,http://www.delishop.co.th,Place de marché / supermarket / E-commerce,Le 1er supermarché 100% en ligne en Thailande,The first 100% online supermarket in Thailand,first 100 onlin supermarket thailand
very-local-trip,http://www.verylocaltrip.com,Voyage / Tourisme / Particulier à particulier,Une plateforme de tourisme collaboratif innovante qui met en relation des voyageurs - désirant voyager vraiment différemment - avec des locaux partout dans le monde!,Innovative collaborative tourism platform that connects travelers - really wanting to travel differently - with local everywhere!,innov collabor tourism platform connect travel realli want travel differ local everywher
prazoito,http://www.prazoito.com,bar / Market Place / Marketing événementiel,"Pour votre évènement à Sao Paulo, trouvez votre bar ou votre espace idéal ","For your event in Sao Paulo, find your bar or ideal space",event sao paulo find bar ideal space
obrigada-producao,http://www.obrigadaproducao.com.br,Actualités / cinema / communication / contenu / culture / multimedia / production,Agence de communication & Production France/ Brésil,Communications Agency & Production France / Brazil,commun agenc product franc brazil
toolynk,http://www.toolynk.com,Application mobile / bases de données / big data / développement web / Innovation Digitale,"Société de Services en Ingénierie Informatique et de Conseil en Innovation, opérant à l’international. ","Services Company in Computer Engineering and Innovation Consultancy, operating internationally.",servic compani comput engin innov consult oper intern
queentessence,https://queentessence.io,big data / communication / géolocalisation / telecom,Plateforme de Services IT pour la transformation digitale des entreprises,IT Services Platform for digital business transformation,servic platform digit busi transform
ushouldcome,https://ushouldcome.com,Marketing événementiel / organisation / SMS,"Service qui booste le traffic physique, en magasin, pour une Porte Ouverte ou autre. ",Service that boosts the physical traffic in store for Open House or other.,servic boost physic traffic store open hous
place2b,http://place2bapp.com,,Une application pour créer et rejoindre des événements autour de soi.,An application to create and join events around.,applic creat join event around
home61,https://www.home61.com,Immobilier,"Fournir une experience VIP pour l'achat, la vente ou la location d'un bien immobilier ","Provide a VIP experience for buying, selling or renting a property",provid vip experi buy sell rent properti
french-district,http://frenchdistrict.com/,guide / media / social guide,Le French District est le premier site d’information en français aux Etats-Unis.,The French District is the first French news site in the United States.,french district first french news site unit state
mydistrikt,https://www.mydistrikt.com/,Android / Application mobile / guide / social guide,"mydistriKt est une plateforme (iOS, Android et Web) de guides locaux entièrement créés par les utilisateurs. ","mydistriKt is a platform (iOS, Android, and Web) local guides entirely created by users.",mydistrikt platform io android web local guid entir creat user
sellingathome-0,http://sellingathome.com,Application mobile / CRM / logiciel / vente,CRM et application mobile pour la vente à domicile,CRM and mobile application for home sales,crm mobil applic home sale
coeursnet,http://coeurs.net,cloud,Interface utilisateur Cloud en streaming,Cloud user interface streaming,cloud user interfac stream
ubi-solutions,http://www.ubisolutions.net,cloud / IOT / mobilité / tracker GPS,Solutions de traçabilité pour améliorer les process des entreprises,traceability solutions to improve the processes of businesses,traceabl solut improv process busi
keepdrive,https://www.keepdrive.fr,assurance / Automobile / permis de conduire,La solution pour accompagner tous les membres de votre foyer à chaque instant de leur vie d’automobiliste.,The solution to support all members of your household every moment of their lives motorist.,solut support member household everi moment live motorist
assurcom,https://assur.com/,FinTech,Agrégateur intelligent d'assurance qui met l'innovation au cœur de l'expérience utilisateur pour une recherche simple et intuitive.,Smart insurance aggregator that puts innovation at the heart of the user experience simple and intuitive research.,smart insur aggreg put innov heart user experi simpl intuit research
unaide,https://unaide.fr/,,Développe une solution d’intelligence artificielle pour détecter les chutes et les situations de détresse.,Develops an artificial intelligence solution to detect falls and distress.,develop artifici intellig solut detect fall distress
critizr,https://critizr.com/fr/,,Développe une solution destinée aux marques qui propose d’améliorer l’expérience client.,Develops a solution for brands that proposes to improve the customer experience.,develop solut brand propos improv custom experi
feeldit,http://www.feeldit.com,Android / Application mobile / communauté sportive / football / iOS / paris sportifs / Réseau social / Faites du sport,Le réseau social des fans de sport de haut niveau,The social network of high-level sports fans,social network high-level sport fan
serensia,https://www.serensia.com/fr/,,Le spécialiste de la digitalisation et de l’automatisation des processus administratifs et financiers,The specialist in digitization and automation of business processes and financial,specialist digit autom busi process financi
agdatahub,https://agdatahub.eu/,AgriTech,Agir ensemble pour l'usage maîtrisé des données agricoles,Acting together for the controlled use of agricultural data,act togeth control use agricultur data
score-secure-payment,https://sspayment.com/,paiement / Solution de paiement,Solutions de paiement garanties,Guarantees Payment Solutions,guarante payment solut
deepreach,https://www.deepreach.com/,communication / marketing / marketing de proximité / Réseau social,La plateforme d'IA qui révolutionne le marketing local,The platform AI revolutionizing local marketing,platform ai revolution local market
1food1me,https://1food1me.com,bien-être / Alimentation saine et durable / agriculture raisonnée / digital / e-santé / Food Tech / french tech / innovation / Innovation Digitale / startups / website,1Food1Me est le premier programme digital en France spécialiste de la Nutrition Personnalisée bien-être fondée sur la biologie. Il vous permet de réaliser un bilan biologique nutritionnel en laboratoire qui renseigne vos déficits nutritionnels.,1Food1Me is the first digital program in France specialist Personalized Nutrition welfare based on biology. It allows you to achieve a nutritional balance biological laboratory that informs your nutritional deficits.,1food1m first digit program franc specialist person nutrit welfar base biolog allow achiev nutrit balanc biolog laboratori inform nutrit deficit
interstis,https://interstis.fr/,,"Plateforme collaborative pour les équipes qui veulent mieux communiquer, faire avancer leurs projets et alléger leur boîte mail. ","Collaborative platform for teams who want to communicate better, to advance their projects and ease their mailbox.",collabor platform team want commun better advanc project ea mailbox
kshuttle,https://www.kshuttle.io/fr/,,Solution pour gérer votre performance financière et extra-financière,Solution to manage your financial performance and non-financial,solut manag financi perform non-financi
ticketin,http://www.ticketin.fr,,Ticketin c’est une platforme en ligne qui vous permet de vendre vos billets d’avions non-utilisés gratuitement mais aussi de vous procurez des billets d’avions à des prix très intéressants.,Ticketin is an online platform that allows you to sell your air tickets unused free but also you obtain the aircraft at very attractive price tickets.,ticketin onlin platform allow sell air ticket unus free also obtain aircraft attract price ticket
citizenwave,https://www.citizenwave.com/,B2B / engagement / environnemental / Innovation collaborative / Innovation Digitale / ParisTech Entrepreneurs / Réseau social / RH / SaaS / startups,La première application qui accélère l’engagement de vos collaborateurs par le développement durable,The first application that accelerates the commitment of your employees by sustainable development,first applic acceler commit employe sustain develop
deepsight,https://www.deepsight.io/,,Le pilotage de votre activité réinventé,The steering reinvented your business,steer reinvent busi
teambrain,https://teambrain.fr/,,Répondez automatiquement aux questions redondante de vos utilisateurs grâce au FAQ Dynamique et à l'anti-chatbot TeamBrain.,Respond automatically to redundant questions from your users through dynamic FAQs and anti-chatbot TeamBrain.,respond automat redund question user dynam faq anti-chatbot teambrain
luxurynsight,https://www.luxurynsight.com/,,Renseignement des données pour l'industrie du luxe,Intelligence data for the luxury industry,intellig data luxuri industri
captain-achat,https://www.captainachat.com,Accompagnement / Achat / B2B / Bon plan / BtoB / conciergerie / Conseil et vente de matériel / E-commerce / Informatique,SERVICE D'ACHAT INFORMATIQUE À PRIX GROSSISTE !,SERVICE BUY IT COST WHOLESALE!,servic buy cost wholesal
trapeze-des-mascareignes,https://trapeze-des-mascareignes.site/,carnet de voyage / Tourisme / Voyage,Nous sommes active dans le secteur du tourisme tech côté Océan Indien depuis plus de 15 ans et est dirigée par des jeunes français réunionnais qui ont voyagé à travers le Trapèze des Mascareignes.,We are active in the area of ​​the Indian Ocean side tech tourism for over 15 years and is managed by Reunion French youth who have traveled the Keystone Mascarene.,activ area ​​the indian ocean side tech tourism 15 year manag reunion french youth travel keyston mascaren
serialtesteur,https://www.serialtesteur.fr/,internet,Site qui propose des guides d'achat pour les achats sur Internet.,Site that offers buying guides for Internet purchases.,site offer buy guid internet purchas
feel-good-vinyl,https://www.feelgoodvinyl.com,Abonnement / Achat / Bon plan / découverte / Idées cadeaux / Musique,Un abonnement de vinyle mensuel pour pour défendre et faire découvrir des artistes et labels indépendants et mettre du feel good dans le quotidien de nos abonnés avec une musique chaleureuse.,A vinyl monthly subscription for to defend and discover artists and independent labels and put the feel good in the lives of our customers with a warm music.,vinyl monthli subscript defend discov artist independ label put feel good live custom warm music
melotick,https://melotick.com,art / concert / conseil / culture / Musique,Melotick développe une plateforme culturelle offrant différents services afin d'aider les néophytes et les passionnés à trouver et suivre les évènements culturels qui leur ressemblent.,Melotick develops a cultural platform offering different services to help novices and enthusiasts to find and follow the cultural events as these.,melotick develop cultur platform offer differ servic help novic enthusiast find follow cultur event
examin,http://examin.eu,cybersecurité,"Examin facilite le respect des normes juridiques et techniques en matière de cybersécurité et de data et permet d'évaluer sa conformité, surveiller celle de ses fournisseurs en temps réel tout en préservant l'énergie de ses collaborateurs. ","Examined facilitates compliance with legal and technical standards for cybersecurity and data and assesses compliance, monitor those of its suppliers in real time while preserving the energy of its employees.",examin facilit complianc legal technic standard cybersecur data ass complianc monitor supplier real time preserv energi employe
crowdsec,https://crowdsec.net/,,Le pare-feu dynamique et open source nouvelle génération,The stateful firewall and open source new generation,state firewal open sourc new gener
lici,https://lici.fr/,,L'application B2B pour agents immobiliers 2.0,The B2B application realtors 2.0,b2b applic realtor 2.0
data-soluce,http://datasoluce.com/,,Data Soluce structure et centralise la donnée du bâtiment pour une gestion simplifiée de votre patrimoine,Data Walkthrough structure and centralize the data of the building for easy management of your wealth,data walkthrough structur central data build easi manag wealth
tomojo,https://tomojo.co/,animaux de compagnie / Alimentation saine et durable / agriculture raisonnée / environnemental,La croquette pour chien et chat aux insectes,The kibble for dogs and cats to insects,kibbl dog cat insect
keezeco,https://keeze.co/,,Salle de Réunion à Paris - Espaces Privatifs,Meeting Room in Paris - private areas,meet room pari privat area
koyeb,https://www.koyeb.com/,,La plateforme la plus rapide pour déployer et exécuter une application de traitement de données sans serveur,The fastest platform for deploying and running a data processing application without server,fastest platform deploy run data process applic without server
spectral-tms,https://spectraltms.com/,,Réalité Augmentée pour la Maintenance Industrielle,Augmented Reality for Industrial Maintenance,augment realiti industri mainten
auto-ecolenet,https://www.auto-ecole.net/,,"L'auto-ecole autrement, Votre permis en ligne ","The school self-otherwise, your license online",school self-otherwis licens onlin
campingscom,https://www.campings.com/fr/,,Leader européen de la réservation de campings sur internet,European booking campsites internet Leader,european book campsit internet leader
avekapeti,http://www.avekapeti.com,Alimentation saine et durable / agriculture raisonnée / cuisine / delivery / Innovation collaborative / tele-travail,La cantine pour le télé travail : Des repas fait maison avec des produits frais cuisinés par des chefs passionnés livrés pour la semaine dès 5.90€ :) Vous réchauffez et le tour est joué ! ,The canteen for TV Work: homemade meal with fresh produce cooked by passionate leaders delivered for the week from 5.90 € :) You warm up and voila!,canteen tv work homemad meal fresh produc cook passion leader deliv week 5.90 € warm voila
skiptax,http://www.skiptax.com,finance / made in france / Tourisme / Voyage,Nous réinventons la détaxe en France avec une application mobile !,We are reinventing the tax refund in France with a mobile app!,reinvent tax refund franc mobil app
xval,https://xval.fr/,finance / Financement,La solution de valorisation d'entreprise pour tout entrepreneur. Sous 3 jours avec remise d'un rapport documenté.,The business valuation solution for every entrepreneur. 3 days with delivery of a documented report.,busi valuat solut everi entrepreneur 3 day deliveri document report
digital-essence,https://digitalessence.fr/,numérique,Décors numériques interactifs et mapping vidéo,interactive digital sets and video mapping,interact digit set video map
deft-software,https://deftsoftware.com/,logiciel / Software,Solutions logicielle sous forme d'application ou autre pour les entreprises selon leurs besoins,software solutions in the form of application or another for companies according to their needs,softwar solut form applic anoth compani accord need
spacesense,https://spacesense.ai/,AgriTech,SpaceSense propose des solutions de surveillance par satellite pour le secteur agricole.,SpaceSense offers satellite monitoring solutions for the agricultural sector.,spacesens offer satellit monitor solut agricultur sector
mercateam,http://merca.team/,logiciel / SaaS / Software,Outil de gestion de compétences,Competency Management Tool,compet manag tool
kurmi-software,https://www.kurmi-software.com/fr/,logiciel / Software,Une suite logicielle dédiée à l'automatisation de l'administration des services de communication,A software suite dedicated to automating the administration of communications services,softwar suit dedic autom administr commun servic
sekoia,https://www.sekoia.fr/,,Plateforme de lutte contre la cybercriminalité,Platform against cybercrime,platform cybercrim
implement,https://join-implement.com/,elearning / Market Place / plateforme / RH,Implement est une place de marché qui propose des cours en ligne live pour acquérir des compétences et mener à bien ses projets.,Implement is a marketplace that offers courses live online to acquire skills and carry out its projects.,implement marketplac offer cours live onlin acquir skill carri project
ekestrian,https://www.ekestrian.com/,,Première plateforme d'enchères de chevaux d'exception,First platform of exceptional horse auction,first platform except hors auction
joko,https://www.hellojoko.com/,,L'application qui te récompense tous les jours C'est gratuit et sans effort !,The application that reward you every day It's free and effortless!,applic reward everi day 's free effortless
carte-cadeau-ethikdo,http://www.ethikdo.co,cadeau / carte cadeau / coffret cadeau / Idées cadeaux,"Une carte cadeau éthique, écologique et solidaire ","A gift card ethical, ecological and solidarity",gift card ethic ecolog solidar
okube,https://okube-attribution.com/,e-marketing / IOT / media / multicanal / Predictive Analytics,oKube est la plateforme d'attribution omnicanal qui permet de mesurer l'impact de vos investissements media en ligne et en magasin.,oKube is the omni allocation platform to measure the impact of your investments media online and in stores.,okub omni alloc platform measur impact invest medium onlin store
sightness,https://sightness.com/,API / B2B / big data / Numérique au service de l'environnement / digital / transport,"Sightness est la solution SaaS de détection des anomalies transport par l'Intelligence Artificielle (IA). Elle répond via son offre modulaire aux trois enjeux du transport de marchandises : les coûts, la qualité de service et l’impact environnemental. ","Sightness is the SaaS detection transport anomalies Artificial Intelligence (AI). She responds via its modular offering three issues freight: cost, service quality and environmental impact.",sight saa detect transport anomali artifici intellig ai respond via modular offer three issu freight cost servic qualiti environment impact
yvy-mate,https://yvy-mate.fr,Achat / Application eCommerce / art / artisan,"YVY Maté est la référence française sur le marché de la yerba mate bio de qualité supérieure. Depuis 2018, nous proposons le meilleur de l'univers du maté, de la yerba bio, en passant par les bombillas et calebasse mate de fabrication artisanale. ","YVY Mate is the French reference on the organic yerba mate market of higher quality. Since 2018, we offer the best of world mate, yerba bio, through the bombillas mate gourd and homemade.",yvi mate french refer organ yerba mate market higher qualiti sinc 2018 offer best world mate yerba bio bombilla mate gourd homemad
pandor,https://www.pandor-culture.com/,Achat / B2B / cinema / culture / Livre,Pandor est le premier abonnement à une box culturelle personnalisée et sur-mesure livrée chez vous ou sur votre lieu de travail.,Pandor is the first subscription to a personalized cultural box and customized delivered to you or your workplace.,pandor first subscript person cultur box custom deliv workplac
multis,https://multis.co/,,Cryptobanque pour les entreprises,Cryptobanque for companies,cryptobanqu compani
choosemycompany,https://choosemycompany.com/fr/,,"Avis Certifiés, salaires et offres d'emploi des entreprises où les salariés sont heureux et motivés. ","Notice Certified, wages and jobs of the companies where employees are happy and motivated.",notic certifi wage job compani employe happi motiv
pandascore,https://pandascore.co/,Gaming,Fournisseur de statistique e-sports,e-sports statistics provider,e-sport statist provid
mecagoo,https://mecagoo.com/,Automobile / voiture,Mecagoo est un site Web de comparaison automobile qui accompagnent les conducteurs qui souhaitent trouver un garagiste à proximité pour réparer sa voiture.,Mecagoo is a car comparison website accompanying drivers who wish to find a hotel nearby to repair his car.,mecagoo car comparison websit accompani driver wish find hotel nearbi repair car
hedee,https://hedee.co,Service aux particuliers / Service consommateur,"Hedee.co, c'est la plateforme qui rembourse les consommateurs lorsque le prix de leur achat devient moins cher. ",Hedee.co is the platform that reimburses consumers when the price of purchase becomes cheaper.,hedee.co platform reimburs consum price purchas becom cheaper
klaxo,https://klaxo.fr/,Accompagnement / auto-école / Bpifrance / connecté / e-marketing / Market Place / startups / transport,"Klaxo permet aux candidats du permis de conduire de trouver leur auto-école selon leur budget et leur dispo, de planifier leur formation et de suivre leur progression depuis leur mobile ","Klaxo allows candidates driver's license to find their driving school according to their budget and available, plan their training and track their progress from their mobile",klaxo allow candid driver 's licens find drive school accord budget avail plan train track progress mobil
pronoo,https://pronoo.ai,Application mobile / argent / paris sportifs / SaaS,Pronostics sportifs grâce à l'intelligence artificielle,sports betting thanks to artificial intelligence,sport bet thank artifici intellig
